Variant,K,Inertia,Time_seconds
V1_Binary,2,17604.41015625,2.166
V1_Binary,3,15970.171875,0.266
V1_Binary,4,14805.701171875,0.274
V1_Binary,5,13794.830078125,0.267
V1_Binary,6,13126.78125,0.295
V1_Binary,7,12630.6435546875,0.396
V1_Binary,8,12331.462890625,0.4
V1_Binary,9,12101.6142578125,0.417
V1_Binary,10,11883.3388671875,0.483
V1_Binary,11,11779.419921875,0.518
V1_Binary,12,11446.423828125,0.536
V2_Weighted,2,9015844.0,0.101
V2_Weighted,3,8178902.0,0.181
V2_Weighted,4,7561424.0,0.2
V2_Weighted,5,7143957.5,0.305
V2_Weighted,6,6587698.0,0.278
V2_Weighted,7,6231210.0,0.386
V2_Weighted,8,5771311.5,0.398
V2_Weighted,9,5510212.0,0.413
V2_Weighted,10,5248814.0,0.493
V2_Weighted,11,5008958.5,0.56
V2_Weighted,12,4808983.5,0.546
V3_Binary_RFM,2,27820.1875,0.131
V3_Binary_RFM,3,22070.603515625,0.165
V3_Binary_RFM,4,18847.728515625,0.221
V3_Binary_RFM,5,17304.37109375,0.276
V3_Binary_RFM,6,16179.80078125,0.3
V3_Binary_RFM,7,15201.0029296875,0.334
V3_Binary_RFM,8,14533.41796875,0.4
V3_Binary_RFM,9,14140.150390625,0.434
V3_Binary_RFM,10,13809.958984375,0.5
V3_Binary_RFM,11,13496.2529296875,0.533
V3_Binary_RFM,12,13266.595703125,0.583
V4_Antecedent2,2,1927.4083251953125,0.038
V4_Antecedent2,3,1547.902099609375,0.048
V4_Antecedent2,4,1313.323974609375,0.05
V4_Antecedent2,5,1194.58447265625,0.079
V4_Antecedent2,6,1129.843017578125,0.083
V4_Antecedent2,7,1060.52685546875,0.117
V4_Antecedent2,8,1022.2767944335938,0.12
V4_Antecedent2,9,963.851318359375,0.116
V4_Antecedent2,10,892.65576171875,0.114
V4_Antecedent2,11,870.8055419921875,0.133
V4_Antecedent2,12,788.67919921875,0.15
