Variant,K,Silhouette,Time_seconds
V1_Binary,2,0.7039,0.431
V1_Binary,3,0.5078,0.487
V1_Binary,4,0.5074,0.561
V1_Binary,5,0.4769,0.57
V1_Binary,6,0.4792,0.631
V1_Binary,7,0.4413,0.671
V1_Binary,8,0.4399,0.685
V1_Binary,9,0.4557,0.707
V1_Binary,10,0.4447,0.771
V1_Binary,11,0.4093,0.796
V1_Binary,12,0.4071,0.886
V2_Weighted,2,0.892,0.661
V2_Weighted,3,0.5889,0.66
V2_Weighted,4,0.5825,0.516
V2_Weighted,5,0.5501,0.532
V2_Weighted,6,0.5724,0.57
V2_Weighted,7,0.5742,0.633
V2_Weighted,8,0.5594,0.648
V2_Weighted,9,0.5302,0.717
V2_Weighted,10,0.4688,0.769
V2_Weighted,11,0.547,0.795
V2_Weighted,12,0.5004,0.817
V3_Binary_RFM,2,0.9622,0.402
V3_Binary_RFM,3,0.6425,0.453
V3_Binary_RFM,4,0.2004,0.543
V3_Binary_RFM,5,0.24,0.553
V3_Binary_RFM,6,0.2556,0.566
V3_Binary_RFM,7,0.2761,0.638
V3_Binary_RFM,8,0.2856,0.678
V3_Binary_RFM,9,0.1626,0.704
V3_Binary_RFM,10,0.2963,0.816
V3_Binary_RFM,11,0.1912,1.086
V3_Binary_RFM,12,0.1875,0.932
V4_Antecedent2,2,0.8998,0.285
V4_Antecedent2,3,0.8,0.316
V4_Antecedent2,4,0.7932,0.301
V4_Antecedent2,5,0.8091,0.349
V4_Antecedent2,6,0.8072,0.333
V4_Antecedent2,7,0.8109,0.37
V4_Antecedent2,8,0.8123,0.372
V4_Antecedent2,9,0.8203,0.774
V4_Antecedent2,10,0.8256,0.417
V4_Antecedent2,11,0.828,0.413
V4_Antecedent2,12,0.8295,0.436
