min_support,min_confidence,min_lift,TopK,RulesAvailable,RulesSelected,AvgLift,AvgConfidence,AvgSupport,ActivationProxyMean,RuleQualityScore
0.01,0.2,1,50,2445,50,71.31557207042255,0.9038275877024384,0.01067088396870318,0.011821763498141059,64.4569814700294
0.01,0.2,1,100,2445,100,58.415602045847784,0.8279985255663007,0.011210254702846676,0.01391543199600466,48.368032364029744
0.01,0.2,1,150,2445,150,48.657654609735204,0.7560735238096832,0.011576124151452935,0.016102695003976843,36.78876438109697
0.01,0.2,1,200,2445,200,42.20957458661273,0.7271564857166892,0.011647522335053548,0.017116419732534263,30.69296591999779
0.01,0.2,1,250,2445,250,37.51389115396323,0.7092871278928585,0.01181355085733311,0.017741745741079853,26.60812011267989
0.01,0.2,1,300,2445,300,34.1841616298611,0.6971786763721731,0.012005808038769585,0.018301426113978135,23.83246855799899
0.01,0.2,1,400,2445,400,29.73211822023125,0.6805122877609436,0.012313689584373786,0.019295266633372176,20.233071790028404
0.01,0.2,1,500,2445,500,26.754209299517505,0.663406094592109,0.012650796293213475,0.020445147328117197,17.748905505292793
0.01,0.2,2,50,2429,50,71.31557207042255,0.9038275877024384,0.01067088396870318,0.011821763498141059,64.4569814700294
0.01,0.2,2,100,2429,100,58.415602045847784,0.8279985255663007,0.011210254702846676,0.01391543199600466,48.368032364029744
0.01,0.2,2,150,2429,150,48.657654609735204,0.7560735238096832,0.011576124151452935,0.016102695003976843,36.78876438109697
0.01,0.2,2,200,2429,200,42.20957458661273,0.7271564857166892,0.011647522335053548,0.017116419732534263,30.69296591999779
0.01,0.2,2,250,2429,250,37.51389115396323,0.7092871278928585,0.01181355085733311,0.017741745741079853,26.60812011267989
0.01,0.2,2,300,2429,300,34.1841616298611,0.6971786763721731,0.012005808038769585,0.018301426113978135,23.83246855799899
0.01,0.2,2,400,2429,400,29.73211822023125,0.6805122877609436,0.012313689584373786,0.019295266633372176,20.233071790028404
0.01,0.2,2,500,2429,500,26.754209299517505,0.663406094592109,0.012650796293213475,0.020445147328117197,17.748905505292793
0.01,0.2,3,50,2302,50,71.31557207042255,0.9038275877024384,0.01067088396870318,0.011821763498141059,64.4569814700294
0.01,0.2,3,100,2302,100,58.415602045847784,0.8279985255663007,0.011210254702846676,0.01391543199600466,48.368032364029744
0.01,0.2,3,150,2302,150,48.657654609735204,0.7560735238096832,0.011576124151452935,0.016102695003976843,36.78876438109697
0.01,0.2,3,200,2302,200,42.20957458661273,0.7271564857166892,0.011647522335053548,0.017116419732534263,30.69296591999779
0.01,0.2,3,250,2302,250,37.51389115396323,0.7092871278928585,0.01181355085733311,0.017741745741079853,26.60812011267989
