antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str,rule_str
"frozenset({'HERB MARKER ROSEMARY', 'HERB MARKER PARSLEY'})",frozenset({'HERB MARKER THYME'}),0.011486598967870817,0.012762887742078685,0.010931690805171744,0.9516908212560387,74.56704473850031,1.0,0.010785088632006532,20.435808223738974,0.9980534901255442,0.8208333333333334,0.9510662857543181,0.9041062801932367,"HERB MARKER PARSLEY, HERB MARKER ROSEMARY",HERB MARKER THYME,"HERB MARKER PARSLEY, HERB MARKER ROSEMARY → HERB MARKER THYME"
"frozenset({'HERB MARKER MINT', 'HERB MARKER THYME'})",frozenset({'HERB MARKER ROSEMARY'}),0.011098163253981465,0.012818378558348593,0.0105987459075523,0.9550000000000001,74.50240259740261,1.0,0.010456485449660413,21.937369365370067,0.9976496932408998,0.7958333333333335,0.9544156829679596,0.8909199134199135,"HERB MARKER MINT, HERB MARKER THYME",HERB MARKER ROSEMARY,"HERB MARKER MINT, HERB MARKER THYME → HERB MARKER ROSEMARY"
"frozenset({'HERB MARKER MINT', 'HERB MARKER THYME'})",frozenset({'HERB MARKER PARSLEY'}),0.011098163253981465,0.012651906109538872,0.010432273458742577,0.94,74.29710526315789,1.0,0.010291860539264869,16.455801564841003,0.9976121883458077,0.7833333333333332,0.9392311583206878,0.8822807017543859,"HERB MARKER MINT, HERB MARKER THYME",HERB MARKER PARSLEY,"HERB MARKER MINT, HERB MARKER THYME → HERB MARKER PARSLEY"
"frozenset({'HERB MARKER PARSLEY', 'HERB MARKER THYME'})",frozenset({'HERB MARKER ROSEMARY'}),0.011486598967870817,0.012818378558348593,0.010931690805171744,0.9516908212560387,74.24424367902628,1.0,0.01078445123125364,20.43465956384219,0.9979945049778335,0.8174273858921163,0.9510635351239501,0.9022523370349458,"HERB MARKER PARSLEY, HERB MARKER THYME",HERB MARKER ROSEMARY,"HERB MARKER PARSLEY, HERB MARKER THYME → HERB MARKER ROSEMARY"
"frozenset({'HERB MARKER BASIL', 'HERB MARKER THYME'})",frozenset({'HERB MARKER ROSEMARY'}),0.011264635702791188,0.012818378558348593,0.010709727540092116,0.9507389162561577,74.16998272663298,1.0,0.01056533317533185,20.039786915265548,0.9977568238906107,0.8008298755186722,0.9500992698061955,0.8931183758769967,"HERB MARKER BASIL, HERB MARKER THYME",HERB MARKER ROSEMARY,"HERB MARKER BASIL, HERB MARKER THYME → HERB MARKER ROSEMARY"
"frozenset({'HERB MARKER ROSEMARY', 'HERB MARKER BASIL'})",frozenset({'HERB MARKER THYME'}),0.01143110815160091,0.012762887742078685,0.010709727540092116,0.9368932038834953,73.40761924862812,1.0,0.010563833589985673,15.64391116347171,0.9977832035936416,0.7942386831275722,0.936077366487801,0.8880118193330521,"HERB MARKER BASIL, HERB MARKER ROSEMARY",HERB MARKER THYME,"HERB MARKER BASIL, HERB MARKER ROSEMARY → HERB MARKER THYME"
"frozenset({'HERB MARKER MINT', 'HERB MARKER ROSEMARY'})",frozenset({'HERB MARKER THYME'}),0.011375617335331002,0.012762887742078685,0.0105987459075523,0.9317073170731708,73.00129374337223,1.0,0.010453560180504626,14.455972000919573,0.9976505029892536,0.7827868852459018,0.9308244371297628,0.8810710498409333,"HERB MARKER MINT, HERB MARKER ROSEMARY",HERB MARKER THYME,"HERB MARKER MINT, HERB MARKER ROSEMARY → HERB MARKER THYME"
"frozenset({'HERB MARKER MINT', 'HERB MARKER ROSEMARY'})",frozenset({'HERB MARKER PARSLEY'}),0.011375617335331002,0.012651906109538872,0.010487764275012485,0.9219512195121952,72.87053915275995,1.0,0.010343841032547834,12.65039745297154,0.9976256405870235,0.7745901639344263,0.9209511002545534,0.8754492939666239,"HERB MARKER MINT, HERB MARKER ROSEMARY",HERB MARKER PARSLEY,"HERB MARKER MINT, HERB MARKER ROSEMARY → HERB MARKER PARSLEY"
"frozenset({'HERB MARKER BASIL', 'HERB MARKER THYME'})",frozenset({'HERB MARKER PARSLEY'}),0.011264635702791188,0.012651906109538872,0.010376782642472672,0.9211822660098523,72.80976147264714,1.0,0.010234263529202798,12.52697894123524,0.9975020753513092,0.7663934426229508,0.9201722933605097,0.8706788523031718,"HERB MARKER BASIL, HERB MARKER THYME",HERB MARKER PARSLEY,"HERB MARKER BASIL, HERB MARKER THYME → HERB MARKER PARSLEY"
frozenset({'HERB MARKER CHIVES '}),frozenset({'HERB MARKER PARSLEY'}),0.011264635702791188,0.012651906109538872,0.010376782642472672,0.9211822660098523,72.80976147264714,1.0,0.010234263529202798,12.52697894123524,0.9975020753513092,0.7663934426229508,0.9201722933605097,0.8706788523031718,HERB MARKER CHIVES ,HERB MARKER PARSLEY,HERB MARKER CHIVES  → HERB MARKER PARSLEY
frozenset({'HERB MARKER PARSLEY'}),frozenset({'HERB MARKER CHIVES '}),0.012651906109538872,0.011264635702791188,0.010376782642472672,0.8201754385964912,72.80976147264714,1.0,0.010234263529202798,5.4983332453600875,0.9989036125785211,0.7663934426229508,0.8181267021521702,0.8706788523031718,HERB MARKER PARSLEY,HERB MARKER CHIVES ,HERB MARKER PARSLEY → HERB MARKER CHIVES 
"frozenset({'HERB MARKER ROSEMARY', 'HERB MARKER THYME'})",frozenset({'HERB MARKER PARSLEY'}),0.011875034681760169,0.012651906109538872,0.010931690805171744,0.9205607476635514,72.76063698967043,1.0,0.010781448981330597,12.428970123091693,0.9981088826358425,0.8040816326530612,0.9195428108607239,0.8922979176914249,"HERB MARKER ROSEMARY, HERB MARKER THYME",HERB MARKER PARSLEY,"HERB MARKER ROSEMARY, HERB MARKER THYME → HERB MARKER PARSLEY"
frozenset({'HERB MARKER THYME'}),frozenset({'HERB MARKER ROSEMARY'}),0.012762887742078685,0.012818378558348593,0.011875034681760169,0.9304347826086957,72.58599661208358,1.0,0.011711435155184496,14.190735808223753,0.9989730184903949,0.8663967611336033,0.9295314905784883,0.9284208545078111,HERB MARKER THYME,HERB MARKER ROSEMARY,HERB MARKER THYME → HERB MARKER ROSEMARY
frozenset({'HERB MARKER ROSEMARY'}),frozenset({'HERB MARKER THYME'}),0.012818378558348593,0.012762887742078685,0.011875034681760169,0.9264069264069265,72.58599661208358,1.0,0.011711435155184496,13.41481017244588,0.9990291721170665,0.8663967611336033,0.9254555236231365,0.9284208545078111,HERB MARKER ROSEMARY,HERB MARKER THYME,HERB MARKER ROSEMARY → HERB MARKER THYME
"frozenset({'HERB MARKER MINT', 'HERB MARKER BASIL'})",frozenset({'HERB MARKER ROSEMARY'}),0.01120914488652128,0.012818378558348593,0.010376782642472672,0.9257425742574258,72.21994342291373,1.0,0.010233099580001865,13.294045835414247,0.9973326554933102,0.7601626016260165,0.9247783547326065,0.8676331918906177,"HERB MARKER BASIL, HERB MARKER MINT",HERB MARKER ROSEMARY,"HERB MARKER BASIL, HERB MARKER MINT → HERB MARKER ROSEMARY"
"frozenset({'HERB MARKER BASIL', 'HERB MARKER PARSLEY'})",frozenset({'HERB MARKER THYME'}),0.011264635702791188,0.012762887742078685,0.010376782642472672,0.9211822660098523,72.17663311201544,1.0,0.010233013361542536,12.525570861772392,0.9973802253684462,0.7601626016260165,0.9201633194178825,0.8671128721353609,"HERB MARKER BASIL, HERB MARKER PARSLEY",HERB MARKER THYME,"HERB MARKER BASIL, HERB MARKER PARSLEY → HERB MARKER THYME"
"frozenset({'HERB MARKER MINT', 'HERB MARKER BASIL'})",frozenset({'HERB MARKER PARSLEY'}),0.01120914488652128,0.012651906109538872,0.010210310193662949,0.9108910891089109,71.99635226680563,1.0,0.010068493144990464,11.08023972032629,0.9972891661807011,0.7479674796747967,0.9097492450307246,0.85895431648428,"HERB MARKER BASIL, HERB MARKER MINT",HERB MARKER PARSLEY,"HERB MARKER BASIL, HERB MARKER MINT → HERB MARKER PARSLEY"
"frozenset({'HERB MARKER MINT', 'HERB MARKER PARSLEY'})",frozenset({'HERB MARKER ROSEMARY'}),0.011375617335331002,0.012818378558348593,0.010487764275012485,0.9219512195121952,71.92416851441241,1.0,0.0103419473056733,12.648264524721165,0.9974429975552562,0.7651821862348178,0.9209377699173282,0.8700665188470067,"HERB MARKER MINT, HERB MARKER PARSLEY",HERB MARKER ROSEMARY,"HERB MARKER MINT, HERB MARKER PARSLEY → HERB MARKER ROSEMARY"
"frozenset({'HERB MARKER BASIL', 'HERB MARKER PARSLEY'})",frozenset({'HERB MARKER ROSEMARY'}),0.011264635702791188,0.012818378558348593,0.010376782642472672,0.9211822660098523,71.86418015482056,1.0,0.010232388277712405,12.524866822040968,0.9973193003770148,0.757085020242915,0.9201588316899127,0.865353037766831,"HERB MARKER BASIL, HERB MARKER PARSLEY",HERB MARKER ROSEMARY,"HERB MARKER BASIL, HERB MARKER PARSLEY → HERB MARKER ROSEMARY"
"frozenset({'HERB MARKER MINT', 'HERB MARKER PARSLEY'})",frozenset({'HERB MARKER THYME'}),0.011375617335331002,0.012762887742078685,0.010432273458742577,0.9170731707317074,71.85467656415695,1.0,0.010287087731694903,11.904918118404352,0.9974293964784223,0.7611336032388664,0.9160011022289977,0.8672322375397667,"HERB MARKER MINT, HERB MARKER PARSLEY",HERB MARKER THYME,"HERB MARKER MINT, HERB MARKER PARSLEY → HERB MARKER THYME"
"frozenset({'HERB MARKER ROSEMARY', 'HERB MARKER BASIL'})",frozenset({'HERB MARKER PARSLEY'}),0.01143110815160091,0.012651906109538872,0.010376782642472672,0.9077669902912623,71.74942514052121,1.0,0.010232157335410632,10.704931965338702,0.9974647333482419,0.757085020242915,0.9065851139233877,0.8639712144438767,"HERB MARKER BASIL, HERB MARKER ROSEMARY",HERB MARKER PARSLEY,"HERB MARKER BASIL, HERB MARKER ROSEMARY → HERB MARKER PARSLEY"
frozenset({'HERB MARKER PARSLEY'}),frozenset({'HERB MARKER THYME'}),0.012651906109538872,0.012762887742078685,0.011486598967870817,0.9078947368421052,71.13552631578948,1.0,0.011325124110471454,10.718574361657424,0.9985762191123851,0.8247011952191233,0.9067040106026405,0.9039473684210526,HERB MARKER PARSLEY,HERB MARKER THYME,HERB MARKER PARSLEY → HERB MARKER THYME
frozenset({'HERB MARKER THYME'}),frozenset({'HERB MARKER PARSLEY'}),0.012762887742078685,0.012651906109538872,0.011486598967870817,0.9,71.13552631578948,1.0,0.011325124110471454,9.873480938904613,0.9986884754463868,0.8247011952191233,0.8987185972011466,0.9039473684210526,HERB MARKER THYME,HERB MARKER PARSLEY,HERB MARKER THYME → HERB MARKER PARSLEY
frozenset({'HERB MARKER CHIVES '}),frozenset({'HERB MARKER THYME'}),0.011264635702791188,0.012762887742078685,0.010210310193662949,0.9064039408866995,71.01871921182266,1.0,0.010066540912732813,10.547849146755686,0.9971517566505782,0.7389558232931728,0.9051939418087355,0.8532019704433498,HERB MARKER CHIVES ,HERB MARKER THYME,HERB MARKER CHIVES  → HERB MARKER THYME
frozenset({'HERB MARKER THYME'}),frozenset({'HERB MARKER CHIVES '}),0.012762887742078685,0.011264635702791188,0.010210310193662949,0.8,71.01871921182266,1.0,0.010066540912732813,4.9436768214860445,0.9986650553650722,0.7389558232931728,0.7977214053204625,0.8532019704433498,HERB MARKER THYME,HERB MARKER CHIVES ,HERB MARKER THYME → HERB MARKER CHIVES 
